empNum,month,year,grossSalary,totalAllowance,totalDeductions,netMonthlySalary
10001,5,2024,94500.00,4500.00,19635.40,74864.60
10002,5,2024,64500.00,4500.00,10760.50,53739.50
10003,5,2024,64500.00,4500.00,10760.50,53739.50
10004,5,2024,64500.00,4500.00,10760.50,53739.50
10005,5,2024,56170.00,3500.00,8845.54,47324.46
10006,5,2024,56170.00,3500.00,8845.54,47324.46
10007,5,2024,46075.00,3100.00,6312.72,39762.28
10008,5,2024,25000.00,2500.00,1493.40,23506.60
10009,5,2024,25000.00,2500.00,1493.40,23506.60
10010,5,2024,56170.00,3500.00,8845.54,47324.46
10011,5,2024,54325.00,3500.00,8363.53,45961.47
10012,5,2024,41575.00,3100.00,5137.09,36437.91
10013,5,2024,26500.00,2500.00,1865.40,24634.60
10014,5,2024,26500.00,2500.00,1865.40,24634.60
10015,5,2024,57000.00,3500.00,9062.38,47937.63
10016,5,2024,46075.00,3100.00,6312.72,39762.28
10017,5,2024,44950.00,3100.00,6018.81,38931.19
10018,5,2024,25000.00,2500.00,1493.40,23506.60
10019,5,2024,25000.00,2500.00,1493.40,23506.60
10020,5,2024,25750.00,2500.00,1688.40,24061.60
10021,5,2024,25750.00,2500.00,1688.40,24061.60
10022,5,2024,26500.00,2500.00,1865.40,24634.60
10023,5,2024,25000.00,2500.00,1493.40,23506.60
10024,5,2024,25000.00,2500.00,1493.40,23506.60
10025,5,2024,26500.00,2500.00,1865.40,24634.60
10026,5,2024,27250.00,2500.00,2060.40,25189.60
10027,5,2024,27250.00,2500.00,2060.40,25189.60
10028,5,2024,26500.00,2500.00,1865.40,24634.60
10029,5,2024,25000.00,2500.00,1493.40,23506.60
10030,5,2024,25000.00,2500.00,1493.40,23506.60
10031,5,2024,25000.00,2500.00,1493.40,23506.60
10032,5,2024,56170.00,3500.00,8845.54,47324.46
10033,5,2024,56170.00,3500.00,8845.54,47324.46
10034,5,2024,56170.00,3500.00,8845.54,47324.46
10001,5,2025,94500.00,4500.00,19635.40,74864.60
10002,5,2025,64500.00,4500.00,10760.50,53739.50
10003,5,2025,64500.00,4500.00,10760.50,53739.50
10004,5,2025,64500.00,4500.00,10760.50,53739.50
10005,5,2025,56170.00,3500.00,8845.54,47324.46
10006,5,2025,56170.00,3500.00,8845.54,47324.46
10007,5,2025,46075.00,3100.00,6312.72,39762.28
10008,5,2025,25000.00,2500.00,1493.40,23506.60
10009,5,2025,25000.00,2500.00,1493.40,23506.60
10010,5,2025,56170.00,3500.00,8845.54,47324.46
10011,5,2025,54325.00,3500.00,8363.53,45961.47
10012,5,2025,41575.00,3100.00,5137.09,36437.91
10013,5,2025,26500.00,2500.00,1865.40,24634.60
10014,5,2025,26500.00,2500.00,1865.40,24634.60
10015,5,2025,57000.00,3500.00,9062.38,47937.63
10016,5,2025,46075.00,3100.00,6312.72,39762.28
10017,5,2025,44950.00,3100.00,6018.81,38931.19
10018,5,2025,25000.00,2500.00,1493.40,23506.60
10019,5,2025,25000.00,2500.00,1493.40,23506.60
10020,5,2025,25750.00,2500.00,1688.40,24061.60
10021,5,2025,25750.00,2500.00,1688.40,24061.60
10022,5,2025,26500.00,2500.00,1865.40,24634.60
10023,5,2025,25000.00,2500.00,1493.40,23506.60
10024,5,2025,25000.00,2500.00,1493.40,23506.60
10025,5,2025,26500.00,2500.00,1865.40,24634.60
10026,5,2025,27250.00,2500.00,2060.40,25189.60
10027,5,2025,27250.00,2500.00,2060.40,25189.60
10028,5,2025,26500.00,2500.00,1865.40,24634.60
10029,5,2025,25000.00,2500.00,1493.40,23506.60
10030,5,2025,25000.00,2500.00,1493.40,23506.60
10031,5,2025,25000.00,2500.00,1493.40,23506.60
10032,5,2025,56170.00,3500.00,8845.54,47324.46
10033,5,2025,56170.00,3500.00,8845.54,47324.46
10034,5,2025,56170.00,3500.00,8845.54,47324.46
10001,2,2025,94500.00,4500.00,19635.40,74864.60
10002,2,2025,64500.00,4500.00,10760.50,53739.50
10003,2,2025,64500.00,4500.00,10760.50,53739.50
10004,2,2025,64500.00,4500.00,10760.50,53739.50
10005,2,2025,56170.00,3500.00,8845.54,47324.46
10006,2,2025,56170.00,3500.00,8845.54,47324.46
10007,2,2025,46075.00,3100.00,6312.72,39762.28
10008,2,2025,25000.00,2500.00,1493.40,23506.60
10009,2,2025,25000.00,2500.00,1493.40,23506.60
10010,2,2025,56170.00,3500.00,8845.54,47324.46
10011,2,2025,54325.00,3500.00,8363.53,45961.47
10012,2,2025,41575.00,3100.00,5137.09,36437.91
10013,2,2025,26500.00,2500.00,1865.40,24634.60
10014,2,2025,26500.00,2500.00,1865.40,24634.60
10015,2,2025,57000.00,3500.00,9062.38,47937.63
10016,2,2025,46075.00,3100.00,6312.72,39762.28
10017,2,2025,44950.00,3100.00,6018.81,38931.19
10018,2,2025,25000.00,2500.00,1493.40,23506.60
10019,2,2025,25000.00,2500.00,1493.40,23506.60
10020,2,2025,25750.00,2500.00,1688.40,24061.60
10021,2,2025,25750.00,2500.00,1688.40,24061.60
10022,2,2025,26500.00,2500.00,1865.40,24634.60
10023,2,2025,25000.00,2500.00,1493.40,23506.60
10024,2,2025,25000.00,2500.00,1493.40,23506.60
10025,2,2025,26500.00,2500.00,1865.40,24634.60
10026,2,2025,27250.00,2500.00,2060.40,25189.60
10027,2,2025,27250.00,2500.00,2060.40,25189.60
10028,2,2025,26500.00,2500.00,1865.40,24634.60
10029,2,2025,25000.00,2500.00,1493.40,23506.60
10030,2,2025,25000.00,2500.00,1493.40,23506.60
